modelId,createdAt,last_modified,predicted_tag
bguisard/reinforce-CartPole-v1,2023-01-20 00:56:57,2023-01-20 00:57:06,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
nlp04/kobart_8_4e-5_datav2_min30_lp5.0_temperature1.0,2023-01-27 02:18:00,2023-01-27 03:40:22,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
jpopham91/ppo-Huggy,2023-01-09 00:57:53,2023-01-09 00:58:00,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Markov decision processes']"
Estebarra/ppo-LunarLander-v2,2023-01-10 22:02:00,2023-01-18 05:51:00,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
muhtasham/tiny-mlm-wikitext-from-scratch-custom-tokenizer,2023-01-19 11:37:15,2023-01-19 11:51:08,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
GoldenShotgun/q-FrozenLake-v1-4x4-noSlippery,2023-01-09 18:51:54,2023-01-09 18:52:00,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
juro95/xlm-roberta-finetuned-ner-higher-ratio,2023-01-25 15:24:04,2023-01-25 18:56:57,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Lexical semantics']"
pandas2002/Arabic-English-opus100,2023-01-24 01:16:08,2023-01-24 04:18:13,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
muhtasham/small-mlm-rotten_tomatoes-from-scratch-target-rotten_tomatoes,2023-01-23 01:44:28,2023-01-23 02:06:58,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
akgeni/pixelcopter-v2,2023-01-09 04:52:43,2023-01-09 04:52:51,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Computational control theory']"
Joqsan/custom-fnet-finetuned-rte,2023-01-30 18:24:20,2023-01-30 18:30:59,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Learning in probabilistic graphical models', 'Maximum likelihood modeling']"
jaredmejia/ppo-LunarLander-v2,2023-01-05 07:32:05,2023-01-05 07:32:26,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
Jbot/ppo-LunarLander-v2,2023-01-08 22:35:41,2023-01-09 00:49:36,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning settings', 'Active learning settings']"
Laurie/eli5_gpt2-model,2023-02-03 10:16:27,2023-02-03 10:30:12,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
fathyshalab/massive_play-roberta-large-v1-5-71,2023-02-10 11:44:25,2023-02-10 11:44:49,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
Ashraf-kasem/gpt2_frame_text_predictor,2023-02-01 14:27:58,2023-02-01 15:06:28,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
Pennywise881/dense-retriever-bert-base-uncased-mnr-squadv2,2023-02-19 12:55:37,2023-02-19 13:00:03,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
Porridge9243/SoccerTwos,2023-02-12 20:05:45,2023-02-12 20:05:58,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Multi-agent reinforcement learning']"
mwissing/ppo-Pyramids,2023-02-23 13:35:16,2023-02-23 13:36:16,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
jed351/gpt2_base_zh-hk-lihkg,2023-02-09 01:39:22,2023-03-10 16:39:46,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
DioLiu/autotrain-koles_score2-3525195293,2023-02-16 10:26:35,2023-02-16 10:27:26,"['Computing methodologies', 'Artificial intelligence', 'Machine learning']"
facebook/convnextv2-large-1k-224,2023-02-17 15:29:24,2025-02-17 18:42:12,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Shape representations']"
sh0xb0x/avatarbitch,2023-02-09 17:54:40,2023-02-09 17:56:12,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Reasoning about belief and knowledge']"
cleanrl/ChopperCommand-v5-sebulba_ppo_envpool-seed1,2023-02-05 18:24:13,2023-02-05 18:24:14,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Inverse reinforcement learning']"
Bill010602/rl_course_vizdoom_health_gathering_supreme,2023-02-22 14:20:57,2023-02-22 14:21:01,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Apprenticeship learning']"
vwxyzjn/StarpilotHard-v0-cleanba_ppo_envpool_procgen-seed1,2023-02-27 22:25:22,2023-02-27 22:25:24,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
Sushant45/Heresy-clustered,2023-02-05 05:55:13,2023-02-05 05:55:40,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
sachinsahu/Warsaw_Pact-clustered,2023-02-05 05:35:17,2023-02-05 05:56:59,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
ben-yu/a2c-PandaReachDense-v2-v2,2023-02-18 17:47:19,2023-12-27 05:23:43,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
loresiensis/traductor-en-es,2023-02-03 10:38:27,2023-02-03 10:56:16,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
PecanPi/pixelcopter-v1,2023-02-13 03:45:46,2023-02-14 05:51:41,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Multi-agent reinforcement learning']"
minhtoan/gpt2-finetune-vietnamese-news,2023-02-18 16:11:47,2023-02-25 15:15:42,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
cleanrl/Qbert-v5-sebulba_ppo_envpool_impala_atari_wrapper-seed3,2023-02-10 13:05:47,2023-02-10 13:05:53,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
bkhan2000/dqn-SpaceInvadersNoFrameskip-v4,2023-02-21 02:46:14,2023-02-21 04:53:03,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Inverse reinforcement learning']"
atorre/poca-SoccerTwos-20M,2023-02-09 19:15:15,2023-02-09 19:15:25,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Multi-agent reinforcement learning']"
shrinath-suresh/bart-qa10k,2023-02-24 10:05:18,2023-02-24 11:22:36,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
rkdan/ppo-Huggy,2023-02-20 16:50:48,2023-02-20 16:50:53,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
omarques/autotrain-flower-classifier-6-38061100888,2023-02-28 14:42:38,2023-02-28 14:43:34,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Appearance and texture representations']"
scvi-tools/tabula-sapiens-pancreas-scanvi,2023-03-15 19:24:58,2024-12-08 10:40:36,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
cleanrl/MsPacman-v5-cleanba_impala_envpool_machado_atari_wrapper_a0_l1_d4-seed2,2023-03-25 17:01:06,2023-03-25 17:01:07,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Robotic planning']"
Stevross/AI-Buddy,2023-03-19 02:23:01,2023-03-19 07:08:17,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Reasoning about belief and knowledge']"
timm/regnety_032.tv2_in1k,2023-03-21 06:38:23,2025-01-21 21:21:25,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
Christian90/rl_course_vizdoom_health_gathering_supreme,2023-03-17 10:03:00,2023-03-17 10:03:10,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Robotic planning']"
Theju/SID_CA_M08,2023-03-06 06:46:31,2023-03-06 10:37:10,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
jeinsong/Reinforce-CartPol-v1,2023-03-02 01:54:16,2023-03-02 01:54:25,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
sleepytaco/q-Taxi-v3,2023-03-26 03:31:58,2023-03-26 03:32:01,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
dmenini/ppo-Huggy,2023-03-04 20:43:48,2023-03-04 20:45:17,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Markov decision processes']"
ruanchaves/bert-large-portuguese-cased-hatebr,2023-03-27 18:09:40,2023-04-13 13:41:25,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
ronanki/all_mpnet_all_permutations_64_05_MNR,2023-03-29 08:23:25,2023-03-29 10:24:05,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Unsupervised learning', 'Motif discovery']"
AlexWortega/instruct_rugptMedium,2023-03-11 10:19:57,2023-03-24 10:00:30,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
cleanrl/DemonAttack-v5-cleanba_ppo_envpool_machado_atari_wrapper-seed1,2023-03-02 23:09:08,2023-03-02 23:09:09,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Markov decision processes']"
timm/dm_nfnet_f6.dm_in1k,2023-03-24 01:06:42,2025-01-21 21:34:09,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
anamhira/lora-alpaca-gss-large,2023-03-18 22:05:38,2023-03-18 22:10:13,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
YiYiXu/circle1,2023-03-28 04:05:58,2023-03-28 04:31:02,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
TehVenom/GPT-J-Pyg_PPO-6B,2023-03-05 14:57:54,2023-03-27 04:29:59,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
pfunk/CartPole-v1-DQPN_freq_10000-seed1,2023-03-18 04:52:33,2023-03-18 04:52:37,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
stablediffusionapi/animetestmodelv5,2023-03-22 05:50:34,2025-01-20 11:20:51,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Multi-task learning', 'Transfer learning']"
timm/deit3_small_patch16_224.fb_in22k_ft_in1k,2023-03-28 01:26:49,2025-01-21 21:36:11,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Image representations']"
cleanrl/Solaris-v5-cleanba_impala_envpool_impala_atari_wrapper_a0_l1_d4-seed2,2023-03-26 02:25:47,2023-03-26 02:25:49,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
Amiko/rl_course_vizdoom_health_gathering_supreme,2023-03-10 08:12:19,2023-03-10 08:52:31,"['Computing methodologies', 'Artificial intelligence', 'Search methodologies', 'Discrete space search']"
golightly/q-Taxi-v3,2023-03-17 20:08:47,2023-03-17 20:08:54,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
Medissa/xlm-roberta-base-finetuned-panx-de,2023-03-19 14:40:31,2023-09-22 21:29:07,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Lexical semantics']"
FEIMENG/autotrain-names-10k-en-cn-in-kr-jp-vn-42832109361,2023-03-22 14:59:56,2023-03-22 15:05:49,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
Muffins987/robertabase-subjectivity-1-actual,2023-04-02 03:12:15,2023-04-02 04:35:32,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
yumingyi/poca-SoccerTwos-v3-15M,2023-04-03 03:34:19,2023-04-03 03:34:38,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
eristotelian/milora-tags1,2023-04-02 19:52:27,2023-04-02 19:52:31,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
rohitp1/workstation_whisper_small_distil_libri360_12_to_6_batch_8_epoch_100,2023-04-17 17:39:41,2023-04-23 07:11:19,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
Neko-Institute-of-Science/VicUnLocked-13b-LoRA,2023-04-28 04:08:00,2023-06-24 14:38:55,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Reasoning about belief and knowledge']"
nyuuzyou/AnimeHeads,2023-04-15 17:19:42,2023-04-16 19:00:40,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision problems', 'Object detection']"
Oscarshih/long-t5-base-SQA-15ep,2023-04-27 16:14:16,2023-05-02 14:39:34,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning settings', 'Active learning settings']"
VijaiKM/ppo-LunarLander-v2,2023-04-03 12:27:35,2023-04-03 13:36:37,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
Bingsu/mega-150m-arch,2023-04-11 03:05:10,2023-04-24 04:20:20,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
Zekunli/flan-t5-base-extraction-cnndm_8000-all-hint_precision-ep50,2023-04-06 20:35:55,2023-04-10 01:41:08,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
erickdp/fine-tuning-albert-tiny-041123,2023-04-12 03:31:04,2023-04-12 05:54:04,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
stablediffusionapi/anythingelse-v4,2023-04-30 12:15:53,2025-01-20 11:22:22,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
jennakastner8/mini3_model,2023-04-05 14:56:56,2023-04-06 00:02:54,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
Chenhsing/output,2023-04-14 06:27:23,2023-04-14 06:40:22,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Computational control theory']"
Muhsabrys/autotrain-twhinlargepretweet_regression-51696122377,2023-04-23 00:14:09,2023-04-23 00:22:52,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
LLukas22/gpt4all-lora-quantized-ggjt,2023-04-07 19:32:03,2023-04-07 19:55:15,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
Karthikeya55/layoutlm-funsd-sequence-tf,2023-04-17 10:16:01,2023-04-17 10:34:58,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
srinivasvl81/Taxi-v3,2023-04-21 19:21:17,2023-04-21 19:26:15,"['Computing methodologies', 'Artificial intelligence', 'Search methodologies', 'Discrete space search']"
Dsfajardob/q-taxi-v3,2023-04-24 16:33:39,2023-04-24 16:33:42,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Markov decision processes']"
chediak6/xlm-roberta-base-finetuned-panx-de,2023-04-24 13:02:36,2023-04-25 13:24:56,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
ossib/kho-v1-lex-fi-sv,2023-04-26 10:03:07,2023-04-28 22:58:50,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
Galeros/poca-SoccerTwos,2023-04-13 15:04:23,2023-04-13 15:04:31,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Multi-agent reinforcement learning']"
kikkalo/t5-end2end-questions-generation,2023-04-30 17:19:19,2023-05-01 15:22:53,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Description logics']"
vincentmin/bloomz-1b1-eli5-reward,2023-04-16 13:45:34,2023-06-10 11:42:10,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
JamesEJarvis/a2c-AntBulletEnv-v0,2023-04-06 18:00:15,2023-04-06 18:01:23,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Robotic planning']"
Vetehinen/gpt3-finnish-8B-GGML,2023-05-18 20:08:17,2023-06-02 19:06:53,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
egarciamartin/ppo-SnowballTarget,2023-05-18 07:56:31,2023-05-18 07:57:35,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
optimopium/q-FrozenLake-v1-4x4-noSlippery,2023-05-30 15:38:40,2023-05-30 15:38:51,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
lowrollr/PyramidsRND,2023-05-16 01:14:52,2023-05-16 01:14:58,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Multi-agent reinforcement learning']"
Henk717/ai-dungeon2-classic-ggml,2023-05-24 14:56:52,2023-05-24 15:20:31,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
nomic-ai/gpt4all-mpt,2023-05-11 13:48:01,2023-05-24 21:25:47,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
judithrosell/t5-mt-en-fr,2023-05-08 09:11:50,2023-05-08 11:43:21,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
destroboman/my-depression-model,2023-05-10 22:21:21,2023-05-12 14:35:54,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
gufte/ppo-LunarLander-v2-2,2023-05-16 19:46:27,2023-05-16 19:46:46,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
fedorn/ppo-LunarLander-v2,2023-05-28 10:03:49,2023-05-28 12:00:55,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
YakovElm/Hyperledger15SetFitModel,2023-05-20 16:19:36,2023-05-20 18:20:40,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Learning in probabilistic graphical models', 'Maximum entropy modeling']"
gcy/ppo-LunarLander-v2,2023-05-31 15:18:24,2023-05-31 15:18:44,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Computational control theory']"
Schnitzl/codeparrot-ds,2023-05-31 13:29:50,2023-06-07 12:27:04,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
harsh0000/Reinforce-Cartpole-v1,2023-05-10 09:57:45,2023-05-10 09:57:57,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
lcrodriguez/fb_tf_classifier,2023-05-18 21:38:01,2023-05-18 21:38:10,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Semantic networks']"
YakovElm/Apache20Classic_Balance_DATA_ratio_1,2023-05-31 16:39:27,2023-05-31 17:44:28,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing']"
Julia0408/videomae-base-finetuned-ucf101-subset,2023-05-19 07:13:33,2023-05-24 19:39:54,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Appearance and texture representations']"
ManiShankar-AlpesAi/paraphrase-multilingual-mpnet-base-v2-KE_Sieve,2023-05-08 08:49:13,2023-06-20 12:56:48,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
NorbertRop/a2c-AntBulletEnv-v0,2023-05-15 15:03:54,2023-05-15 15:05:01,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
jayanthspratap/resnet-50-drfx-CT-classifier,2023-05-27 20:45:01,2023-05-27 20:54:09,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Appearance and texture representations']"
Poonnnnnnnn/type-prediction-transformer,2023-05-12 07:21:22,2023-06-28 04:44:24,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
timdettmers/qlora-longform-33b,2023-05-22 19:07:07,2023-06-13 01:24:07,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
monsterapi/llama7B_alpaca-lora,2023-05-10 05:39:31,2023-09-21 11:23:24,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
Lendalf/Reinforce-PixelCopter,2023-05-16 20:28:00,2023-05-16 20:28:33,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Robotic planning']"
YakovElm/Hyperledger10Classic_Balance_DATA_ratio_3,2023-05-30 19:48:29,2023-05-30 19:49:04,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
DREX-Institute/potat1.pth,2023-06-06 09:40:06,2023-06-08 10:05:01,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by regression']"
TheBloke/fin-llama-33B-GGML,2023-06-11 16:49:35,2023-06-11 20:08:14,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Logic programming and answer set programming']"
akira225/deberta-v3-base-ECE,2023-06-21 02:18:24,2023-06-21 08:46:41,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Learning in probabilistic graphical models', 'Maximum likelihood modeling']"
jondurbin/airoboros-33b-gpt4-1.3,2023-06-19 21:42:46,2023-06-22 14:58:46,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
YakovElm/MariaDB5SetFitModel_balance_ratio_1,2023-06-02 16:56:05,2023-06-02 16:56:39,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
YakovElm/Apache20SetFitModel_Train_balance_ratio_1,2023-06-09 10:21:05,2023-06-09 10:21:39,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning settings', 'Semi-supervised learning settings']"
Hinova/poca-SoccerTwos-5M,2023-06-22 02:38:41,2023-06-22 02:39:03,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
CleverShovel/rubert-tiny2-tnved-v4,2023-06-20 14:13:23,2023-07-07 11:03:37,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
Davlan/afro-xlmr-large-29L,2023-06-10 18:15:31,2025-01-12 19:10:08,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
zhaijifu67/so-vits-4.0-collect,2023-06-22 04:23:31,2023-10-08 15:50:11,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by regression']"
tmpupload/superhot-13b-16k-no-rlhf-test-GGML,2023-06-26 09:13:13,2023-06-27 01:52:25,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
jondurbin/airoboros-7b-gpt4-1.4,2023-06-22 00:22:59,2023-06-28 10:16:41,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
hts98/wav2vec2-large-robust-paper,2023-06-30 09:45:58,2023-06-30 21:10:21,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
IIC/bert-base-spanish-wwm-cased-meddocan,2023-06-21 15:40:42,2025-03-24 11:28:06,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Causal reasoning and diagnostics']"
ankitmehra31/taxi-v3,2023-06-21 05:25:45,2023-06-21 05:25:47,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
ahishamm/vit-base-HAM-10000-sharpened,2023-06-25 08:42:48,2023-06-25 09:17:26,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Appearance and texture representations']"
Francesco-A/q-FrozenLake-v1-4x4-noSlippery,2023-06-30 18:03:31,2023-06-30 18:03:32,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
dragonstar/image-text-captcha-v2,2023-06-02 22:02:54,2023-09-11 22:10:21,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Image representations']"
MarcoLYH/distilbert-base-uncased-finetuned-v1,2023-06-13 09:35:58,2023-06-13 09:39:02,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
TheBloke/cassandra-6.9B-GGML,2023-06-19 00:10:09,2023-06-20 17:01:28,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
JackWolfard/my_awesome_eli5_mlm_model,2023-06-14 09:48:24,2023-06-14 10:04:30,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
jliu596/ppo-LunarLander-v2,2023-06-30 16:04:34,2023-06-30 16:04:54,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Multi-agent reinforcement learning']"
TheBloke/Minotaur-13B-fixed-SuperHOT-8K-fp16,2023-06-27 01:22:02,2023-07-09 20:24:48,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
HungDuy/q-FrozenLake-v1-4x4-noSlippery,2023-06-06 08:25:22,2023-06-06 08:25:25,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
NousResearch/Nous-Hermes-13b,2023-06-03 03:21:50,2023-06-05 00:36:49,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Description logics']"
sdpkjc/BreakoutNoFrameskip-v4-dqn_atari-seed1,2023-07-19 07:52:20,2023-07-19 07:52:31,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
jcy204/heat_model,2023-07-28 13:07:33,2023-07-28 13:14:28,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
mrbesher/ppo-LunarLander-v2,2023-07-18 20:50:29,2023-07-18 20:50:49,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
